sample	Pop	Count_LinesInFile	Count_HomDer_Calls	Count_Het_Calls	Count_HomAnc_Calls	Total_DerAlleles	Count_HomDerSyn_Calls	Count_HomDerNonSyn_Calls	Count_HomDerLOF_Calls	Count_HetSyn_Calls	Count_HetNonSyn_Calls	Count_HetLOF_Calls	Total_DerAlleles_SYN	Total_DerAlleles_NONSYN	Total_DerAlleles_LOF	Ct_Lines_HomDerNoGERPScore	Ct_Lines_HetNoGERPScore	GERPScore_AllDerAlleles	GERPScore_HomDerSites	av_GERP_Total_DerAlleles	av_GERP_Total_HomDer_Sites	Ct_NONSYNDeralleles_GERPmt4	Ct_SYNDeralleles_GERPlt2	Count_SYN_homder_calls_GERPlt2	Count_NON_homder_calls_GERPmt4	Count_SYN_het_calls_GERPlt2	Count_NON_het_calls_GERPmt4	count_LOF_site_called	count_syn_site_called	count_nonsyn_site_called	count_LOF_site_called	count_synlt2_site_called	count_nonsynmt4_site_called
CR006_6232	CR	693279	9422	8084	675773	26928	5646	3757	19	4461	3593	30	15753	11107	68	0	1.0	-27297.139	-11555.749	-1.01382131848	-1.22659473517	3000	12001	4338	935	3325	1130	8612	262729	421938	8612	185273	219007
CR006_9213	CR	693279	9458	8159	675662	27075	5707	3730	21	4483	3651	25	15897	11111	67	0	0.0	-27678.983	-11368.689	-1.02238329701	-1.20214539495	2992	12100	4384	942	3332	1108	8612	262729	421938	8612	185273	219007
CR007_13589	CR	693279	9430	8103	675746	26963	5632	3779	19	4450	3630	23	15714	11188	61	0	1.0	-27354.237	-11372.264	-1.01469830848	-1.2062223165	2982	11947	4330	948	3287	1086	8612	262729	421938	8612	185273	219007
CR007_13590	CR	693279	9481	8145	675653	27107	5665	3793	23	4496	3618	31	15826	11204	77	0	1.0	-26750.986	-11230.148	-0.986975575561	-1.18461476793	2999	12051	4340	918	3371	1163	8612	262729	421938	8612	185273	219007
CR007_13591	CR	693279	9465	8220	675594	27150	5684	3762	19	4513	3676	31	15881	11200	69	0	2.0	-27416.566	-11390.255	-1.00996706697	-1.20353497464	2994	12076	4369	933	3338	1128	8612	262729	421938	8612	185273	219007
CR007_8429	CR	693279	9289	8412	675578	26990	5562	3707	20	4616	3769	27	15740	11183	67	0	2.0	-26927.809	-11262.72	-0.997843659675	-1.21260981912	2990	11992	4299	912	3394	1166	8612	262729	421938	8612	185273	219007
CR007_8430	CR	693279	9281	8371	675627	26933	5548	3714	19	4671	3667	33	15767	11095	71	0	1.0	-27375.105	-11510.303	-1.01652822131	-1.240334375	2956	12062	4304	907	3454	1142	8612	262729	421938	8612	185273	219007
CR007_8431	CR	693279	9344	8328	675607	27016	5588	3738	18	4551	3752	25	15727	11228	61	0	1.0	-26781.9	-11153.103	-0.991444859882	-1.19373894895	3006	11957	4303	915	3351	1176	8612	262729	421938	8612	185273	219007
CR008_10817	CR	693279	9262	8500	675517	27024	5575	3668	19	4642	3828	30	15792	11164	68	0	2.0	-27123.791	-11352.268	-1.00384126573	-1.22581449088	3025	12063	4303	907	3457	1211	8612	262729	421938	8612	185273	219007
CR008_10818	CR	693279	9363	8475	675441	27201	5615	3730	18	4641	3805	29	15871	11265	65	0	1.0	-27419.988	-11608.183	-1.00816192367	-1.2399255501	3011	12108	4351	916	3406	1179	8612	262729	421938	8612	185273	219007
